,lat,long,date,fire_bool
52097,43.391,-118.081,2014-07-17,f
52098,43.391,-118.081,2014-07-17,f
52099,43.392,-118.168,2014-07-17,f
52100,43.393,-118.056,2014-07-17,f
52101,43.393,-118.056,2014-07-17,f
52103,43.395,-118.268,2014-07-17,f
52104,43.395,-118.268,2014-07-17,f
52105,43.397,-118.247,2014-07-17,f
52106,43.397,-118.247,2014-07-17,f
52107,43.398,-118.426,2014-07-17,f
52108,43.398,-118.426,2014-07-17,f
52109,43.398,-118.426,2014-07-17,f
52110,43.4,-117.965,2014-07-17,f
52111,43.4,-117.965,2014-07-17,f
52116,43.402,-118.18,2014-07-17,f
52117,43.402,-118.18,2014-07-17,f
52121,43.404,-118.219,2014-07-17,f
52122,43.404,-118.219,2014-07-17,f
52125,43.407,-118.389,2014-07-17,t
52127,43.409,-118.091,2014-07-17,f
52128,43.409,-118.091,2014-07-17,f
52129,43.409,-118.012,2014-07-17,f
52130,43.409,-118.012,2014-07-17,f
52132,43.411,-118.404,2014-07-17,t
52133,43.411,-118.404,2014-07-17,t
52134,43.411,-117.989,2014-07-17,f
52139,43.423,-117.99,2014-07-17,f
52164,43.441,-118.422,2014-07-17,f
52170,43.444,-118.414,2014-07-17,f
52212,43.476,-118.381,2014-07-17,t
52218,43.483,-118.377,2014-07-17,t
52274,43.579,-118.382,2014-07-17,f
52275,43.579,-118.382,2014-07-17,f
52289,43.602,-118.381,2014-07-17,t
52509,44.004,-115.876,2014-07-17,t
52521,44.01,-115.872,2014-07-17,t
52533,44.021,-115.905,2014-07-17,t
52534,44.021,-115.905,2014-07-17,t
52535,44.021,-115.905,2014-07-17,t
53024,44.483,-120.354,2014-07-17,t
53027,44.488,-120.362,2014-07-17,t
53028,44.488,-120.362,2014-07-17,t
53032,44.491,-120.366,2014-07-17,t
53033,44.491,-120.366,2014-07-17,t
53034,44.491,-120.366,2014-07-17,t
53046,44.498,-120.367,2014-07-17,t
53047,44.498,-120.367,2014-07-17,t
53048,44.498,-120.367,2014-07-17,t
53098,44.533,-121.609,2014-07-17,f
53099,44.533,-121.609,2014-07-17,f
53100,44.533,-121.609,2014-07-17,f
53101,44.534,-120.388,2014-07-17,f
53108,44.547,-121.62,2014-07-17,f
53109,44.547,-121.62,2014-07-17,f
53117,44.556,-121.61,2014-07-17,t
53118,44.556,-121.61,2014-07-17,t
53119,44.556,-121.61,2014-07-17,t
53130,44.562,-121.604,2014-07-17,t
53131,44.562,-121.604,2014-07-17,t
53132,44.562,-121.604,2014-07-17,t
53133,44.563,-121.591,2014-07-17,t
53134,44.563,-121.591,2014-07-17,t
53135,44.563,-121.591,2014-07-17,t
53143,44.568,-121.574,2014-07-17,t
53144,44.568,-121.574,2014-07-17,t
53145,44.568,-121.574,2014-07-17,t
53149,44.57,-121.587,2014-07-17,t
53150,44.57,-121.587,2014-07-17,t
53151,44.57,-121.587,2014-07-17,t
53152,44.572,-121.599,2014-07-17,t
53153,44.572,-121.599,2014-07-17,t
53154,44.572,-121.599,2014-07-17,t
53155,44.574,-121.585,2014-07-17,t
53156,44.574,-121.554,2014-07-17,f
53157,44.575,-121.558,2014-07-17,f
53158,44.575,-121.558,2014-07-17,f
53159,44.575,-121.558,2014-07-17,f
53196,44.634,-121.752,2014-07-17,t
53197,44.634,-121.752,2014-07-17,t
53198,44.634,-121.752,2014-07-17,t
53217,44.645,-121.737,2014-07-17,f
53221,44.648,-121.721,2014-07-17,t
53222,44.648,-121.721,2014-07-17,t
53223,44.648,-121.721,2014-07-17,t
53255,44.719,-117.74,2014-07-17,f
53256,44.719,-117.74,2014-07-17,f
53260,44.725,-120.546,2014-07-17,f
53261,44.733,-120.6,2014-07-17,f
53262,44.733,-120.6,2014-07-17,f
53266,44.735,-120.581,2014-07-17,f
53267,44.735,-120.581,2014-07-17,f
53277,44.742,-120.55,2014-07-17,f
53278,44.742,-120.55,2014-07-17,f
53282,44.747,-120.566,2014-07-17,f
53341,44.794,-120.221,2014-07-17,f
53342,44.794,-120.221,2014-07-17,f
53358,44.816,-120.25,2014-07-17,f
53359,44.816,-120.25,2014-07-17,f
53360,44.816,-120.25,2014-07-17,f
53361,44.824,-120.248,2014-07-17,f
53362,44.824,-120.248,2014-07-17,f
53363,44.839,-120.213,2014-07-17,f
53364,44.839,-120.213,2014-07-17,f
53373,44.859,-120.883,2014-07-17,f
53380,44.862,-120.887,2014-07-17,f
53460,44.921,-121.733,2014-07-17,t
53461,44.921,-121.733,2014-07-17,t
53468,44.922,-121.737,2014-07-17,f
53469,44.922,-121.737,2014-07-17,f
53470,44.922,-121.737,2014-07-17,f
53482,44.929,-121.752,2014-07-17,t
53483,44.929,-121.752,2014-07-17,t
53484,44.929,-121.735,2014-07-17,f
53485,44.929,-121.735,2014-07-17,f
53491,44.932,-119.558,2014-07-17,t
53492,44.932,-119.543,2014-07-17,t
53493,44.932,-119.543,2014-07-17,t
53494,44.932,-119.543,2014-07-17,t
53501,44.937,-121.195,2014-07-17,t
53502,44.937,-121.195,2014-07-17,t
53503,44.937,-121.195,2014-07-17,t
53507,44.939,-121.748,2014-07-17,f
53513,44.94,-121.735,2014-07-17,f
53514,44.94,-121.735,2014-07-17,f
53515,44.94,-121.735,2014-07-17,f
53523,44.944,-121.21,2014-07-17,t
53524,44.944,-121.21,2014-07-17,t
53525,44.944,-121.21,2014-07-17,t
53526,44.945,-121.209,2014-07-17,t
53527,44.945,-121.209,2014-07-17,t
53528,44.947,-120.566,2014-07-17,f
53529,44.947,-120.513,2014-07-17,f
53530,44.947,-119.533,2014-07-17,t
53531,44.947,-119.533,2014-07-17,t
53532,44.947,-119.533,2014-07-17,t
53533,44.955,-120.567,2014-07-17,f
53534,44.955,-120.567,2014-07-17,f
53535,44.957,-121.195,2014-07-17,t
53536,44.958,-121.173,2014-07-17,t
53537,44.958,-121.173,2014-07-17,t
53538,44.958,-121.173,2014-07-17,t
53539,44.96,-120.507,2014-07-17,f
53546,44.971,-121.135,2014-07-17,f
53547,44.971,-121.135,2014-07-17,f
53551,44.98,-120.533,2014-07-17,f
53552,44.984,-121.193,2014-07-17,t
53553,44.984,-121.193,2014-07-17,t
53554,44.984,-121.193,2014-07-17,t
53558,44.993,-120.592,2014-07-17,f
53559,44.993,-120.592,2014-07-17,f
53560,44.993,-120.592,2014-07-17,f
53595,45.075,-121.162,2014-07-17,f
53745,45.292,-117.304,2014-07-17,f
53986,45.835,-86.962,2014-07-17,f
55337,47.668,-120.767,2014-07-17,t
55338,47.668,-120.767,2014-07-17,t
55339,47.668,-120.767,2014-07-17,t
55343,47.669,-120.757,2014-07-17,t
55345,47.671,-120.79,2014-07-17,t
55346,47.671,-120.79,2014-07-17,t
55358,47.676,-120.809,2014-07-17,f
55359,47.676,-120.74,2014-07-17,t
55360,47.677,-120.763,2014-07-17,t
55361,47.677,-120.763,2014-07-17,t
55362,47.677,-120.763,2014-07-17,t
55365,47.681,-120.728,2014-07-17,f
55366,47.681,-120.728,2014-07-17,f
55367,47.681,-120.728,2014-07-17,f
55391,47.691,-120.762,2014-07-17,t
55392,47.691,-120.762,2014-07-17,t
55393,47.691,-120.762,2014-07-17,t
55402,47.697,-120.797,2014-07-17,t
55403,47.697,-120.797,2014-07-17,t
55404,47.697,-120.797,2014-07-17,t
55410,47.701,-120.792,2014-07-17,t
55411,47.701,-120.792,2014-07-17,t
55412,47.701,-120.792,2014-07-17,t
55413,47.702,-120.822,2014-07-17,t
55414,47.703,-120.805,2014-07-17,t
55415,47.703,-120.805,2014-07-17,t
55416,47.703,-120.805,2014-07-17,t
55419,47.705,-120.762,2014-07-17,t
55420,47.705,-120.762,2014-07-17,t
55421,47.705,-120.762,2014-07-17,t
55425,47.71,-120.768,2014-07-17,f
55426,47.71,-120.768,2014-07-17,f
55427,47.71,-120.768,2014-07-17,f
55443,47.721,-120.792,2014-07-17,f
55444,47.721,-120.792,2014-07-17,f
55445,47.721,-120.792,2014-07-17,f
55453,47.724,-120.825,2014-07-17,f
55454,47.724,-120.825,2014-07-17,f
55457,47.724,-120.825,2014-07-17,f
55458,47.725,-120.808,2014-07-17,f
55546,47.904,-119.282,2014-07-17,f
55547,47.904,-119.282,2014-07-17,f
55548,47.904,-119.282,2014-07-17,f
55754,48.037,-120.635,2014-07-17,f
55790,48.049,-120.617,2014-07-17,f
55889,48.126,-119.975,2014-07-17,f
55890,48.126,-119.975,2014-07-17,f
55896,48.129,-119.932,2014-07-17,f
55897,48.129,-119.932,2014-07-17,f
55929,48.149,-119.978,2014-07-17,t
55930,48.149,-119.978,2014-07-17,t
55931,48.149,-119.978,2014-07-17,t
55938,48.158,-119.978,2014-07-17,t
55939,48.158,-119.978,2014-07-17,t
55951,48.164,-120.058,2014-07-17,f
55952,48.164,-120.058,2014-07-17,f
55963,48.171,-119.969,2014-07-17,t
55964,48.171,-119.969,2014-07-17,t
55973,48.182,-119.952,2014-07-17,f
55974,48.182,-119.952,2014-07-17,f
55975,48.182,-119.952,2014-07-17,f
55982,48.185,-119.99,2014-07-17,t
55983,48.185,-119.99,2014-07-17,t
