,lat,long,date,fire_bool
110027,43.439,-118.396,2014-07-17,t
110028,43.439,-118.396,2014-07-17,t
110048,43.452,-118.397,2014-07-17,t
110049,43.452,-118.397,2014-07-17,t
110050,43.452,-118.397,2014-07-17,t
110080,43.476,-118.38,2014-07-17,t
110116,43.523,-118.388,2014-07-17,t
110117,43.523,-118.388,2014-07-17,t
110382,44.014,-115.913,2014-07-17,t
110383,44.014,-115.913,2014-07-17,t
110384,44.014,-115.913,2014-07-17,t
110393,44.021,-115.911,2014-07-17,t
110394,44.021,-115.911,2014-07-17,t
110795,44.491,-120.352,2014-07-17,t
110805,44.5,-120.363,2014-07-17,t
110806,44.5,-120.363,2014-07-17,t
110807,44.5,-120.363,2014-07-17,t
110829,44.515,-120.385,2014-07-17,t
110830,44.515,-120.385,2014-07-17,t
110831,44.515,-120.385,2014-07-17,t
110835,44.518,-120.358,2014-07-17,t
110836,44.518,-120.358,2014-07-17,t
110837,44.518,-120.358,2014-07-17,t
110838,44.52,-120.344,2014-07-17,t
110839,44.52,-120.344,2014-07-17,t
110840,44.52,-120.344,2014-07-17,t
110906,44.565,-121.579,2014-07-17,t
110907,44.565,-121.579,2014-07-17,t
110908,44.565,-121.579,2014-07-17,t
111048,44.721,-117.715,2014-07-17,t
111274,44.932,-119.559,2014-07-17,t
111301,44.951,-119.547,2014-07-17,t
111302,44.951,-119.547,2014-07-17,t
111303,44.951,-119.547,2014-07-17,t
111312,44.957,-121.186,2014-07-17,t
111313,44.957,-121.186,2014-07-17,t
111314,44.957,-121.186,2014-07-17,t
111337,44.969,-121.152,2014-07-17,t
111338,44.969,-121.152,2014-07-17,t
111339,44.971,-121.149,2014-07-17,t
111340,44.971,-121.149,2014-07-17,t
111341,44.971,-121.149,2014-07-17,t
111351,44.98,-121.161,2014-07-17,t
113201,47.66,-120.772,2014-07-17,t
113251,47.676,-120.788,2014-07-17,t
113272,47.687,-120.768,2014-07-17,t
113273,47.687,-120.768,2014-07-17,t
113277,47.688,-120.768,2014-07-17,t
113315,47.699,-120.78,2014-07-17,t
113316,47.699,-120.78,2014-07-17,t
113317,47.699,-120.78,2014-07-17,t
113327,47.706,-120.798,2014-07-17,t
113328,47.706,-120.798,2014-07-17,t
113332,47.708,-120.783,2014-07-17,t
113333,47.708,-120.783,2014-07-17,t
113334,47.708,-120.783,2014-07-17,t
113770,48.158,-119.975,2014-07-17,t
113771,48.158,-119.975,2014-07-17,t
113772,48.158,-119.975,2014-07-17,t
113792,48.173,-119.955,2014-07-17,t
113793,48.173,-119.955,2014-07-17,t
113794,48.173,-119.955,2014-07-17,t
113797,48.174,-120.003,2014-07-17,t
113798,48.174,-120.003,2014-07-17,t
113799,48.174,-120.003,2014-07-17,t
113800,48.174,-119.997,2014-07-17,t
113801,48.174,-119.997,2014-07-17,t
113802,48.174,-119.997,2014-07-17,t
113806,48.176,-119.968,2014-07-17,t
113807,48.176,-119.968,2014-07-17,t
113814,48.18,-119.996,2014-07-17,t
113815,48.18,-119.996,2014-07-17,t
113816,48.18,-119.996,2014-07-17,t
113822,48.186,-119.99,2014-07-17,t
113825,48.187,-119.973,2014-07-17,t
113826,48.187,-119.973,2014-07-17,t
113827,48.187,-119.973,2014-07-17,t
113836,48.189,-120.05,2014-07-17,t
113837,48.189,-120.05,2014-07-17,t
113838,48.189,-120.05,2014-07-17,t
113839,48.189,-120.044,2014-07-17,t
113840,48.189,-120.044,2014-07-17,t
113841,48.189,-119.993,2014-07-17,t
113842,48.189,-119.993,2014-07-17,t
113843,48.189,-119.993,2014-07-17,t
113858,48.194,-120.031,2014-07-17,t
113859,48.194,-120.031,2014-07-17,t
113863,48.195,-120.147,2014-07-17,t
113864,48.195,-120.147,2014-07-17,t
113865,48.195,-120.147,2014-07-17,t
113883,48.198,-119.99,2014-07-17,t
113884,48.198,-119.99,2014-07-17,t
113885,48.198,-119.99,2014-07-17,t
113886,48.199,-120.141,2014-07-17,t
113887,48.199,-120.141,2014-07-17,t
113888,48.199,-120.141,2014-07-17,t
113907,48.204,-120.002,2014-07-17,t
113925,48.209,-120.0,2014-07-17,t
113926,48.209,-120.0,2014-07-17,t
113927,48.209,-120.0,2014-07-17,t
113932,48.213,-120.152,2014-07-17,t
113953,48.224,-120.144,2014-07-17,t
113954,48.224,-120.144,2014-07-17,t
113958,48.226,-120.166,2014-07-17,t
113959,48.226,-120.166,2014-07-17,t
113972,48.233,-120.173,2014-07-17,t
113973,48.233,-120.173,2014-07-17,t
114238,48.388,-120.01,2014-07-17,t
114240,48.399,-120.019,2014-07-17,t
114241,48.399,-120.019,2014-07-17,t
114242,48.399,-120.019,2014-07-17,t
114254,48.405,-120.06,2014-07-17,t
114255,48.405,-120.06,2014-07-17,t
114256,48.405,-120.06,2014-07-17,t
